sky130_fd_sc_ms__sedfxbp_2	CLK:I D:I DE:I SCD:I SCE:I VGND:I VNB:I VPB:I VPWR:I Q:O Q_N:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI14	MOSFET	net86	M1	VPWR	VPB	pfet_01v8	1	1.0	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI637	MOSFET	clkpos	clkneg	VPWR	VPB	pfet_01v8	1	1.12	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI13	MOSFET	S0	clkneg	net86	VPB	pfet_01v8	1	1.0	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI651	MOSFET	db	clkpos	M0	VPB	pfet_01v8	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI645	MOSFET	Q	S0	VPWR	VPB	pfet_01v8	2	1.12	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI658	MOSFET	net122	M1	VPWR	VPB	pfet_01v8	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI638	MOSFET	clkneg	CLK	VPWR	VPB	pfet_01v8	1	1.12	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI643	MOSFET	net114	q1	VPWR	VPB	pfet_01v8	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI639	MOSFET	M1	M0	VPWR	VPB	pfet_01v8	1	0.84	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI644	MOSFET	S0	clkpos	net114	VPB	pfet_01v8	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI660	MOSFET	Q_N	q1	VPWR	VPB	pfet_01v8	2	1.12	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI659	MOSFET	M0	clkneg	net122	VPB	pfet_01v8	1	0.42	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	q1	S0	VPWR	VPB	pfet_01v8	1	1.12	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI33	MOSFET	net131	deneg	VPWR	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI47	MOSFET	net138	sceneg	db	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI46	MOSFET	VPWR	SCD	net138	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI31	MOSFET	net143	D	net131	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI42	MOSFET	net143	SCE	db	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI40	MOSFET	net151	q1	net143	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI36	MOSFET	deneg	DE	VPWR	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI38	MOSFET	VPWR	DE	net151	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI44	MOSFET	sceneg	SCE	VPWR	VPB	pfet_01v8	1	0.64	0.18	1	0.265	0.265	0.28	normal	0.063	1.14
MI634	MOSFET	M1	M0	VGND	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI636	MOSFET	clkpos	clkneg	VGND	VNB	nfet_01v8_lvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI635	MOSFET	clkneg	CLK	VGND	VNB	nfet_01v8_lvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI661	MOSFET	Q_N	q1	VGND	VNB	nfet_01v8_lvt	2	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI641	MOSFET	net186	q1	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI642	MOSFET	S0	clkneg	net186	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI648	MOSFET	db	clkneg	M0	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI646	MOSFET	Q	S0	VGND	VNB	nfet_01v8_lvt	2	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI656	MOSFET	net199	M1	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI657	MOSFET	M0	clkpos	net199	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI43	MOSFET	net143	sceneg	db	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI18	MOSFET	q1	S0	VGND	VNB	nfet_01v8_lvt	1	0.74	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI45	MOSFET	sceneg	SCE	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI32	MOSFET	net143	D	net243	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI16	MOSFET	net223	M1	VGND	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI15	MOSFET	S0	clkpos	net223	VNB	nfet_01v8_lvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI41	MOSFET	net231	q1	net143	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI39	MOSFET	VGND	deneg	net231	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI37	MOSFET	deneg	DE	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI34	MOSFET	net243	DE	VGND	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI49	MOSFET	net247	SCE	db	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI48	MOSFET	VGND	SCD	net247	VNB	nfet_01v8_lvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
